datetime,PCO2_Corr_filtered,phcalc,pH_calc_norm4
2016-09-12T03:00:00Z,220.94194475,NA,NA
2016-09-12T02:00:00Z,225.45810968333333,NA,NA
2016-09-12T01:00:00Z,231.62556626666665,NA,NA
2016-09-12T00:00:00Z,NaN,NA,NA
2016-09-11T23:00:00Z,NaN,NA,NA
2016-09-11T22:00:00Z,NaN,NA,NA
2016-09-11T21:00:00Z,NaN,NA,NA
2016-09-11T20:00:00Z,NaN,NA,NA
2016-09-11T19:00:00Z,NaN,NA,NA
2016-09-11T18:00:00Z,NaN,NA,NA
2016-09-11T17:00:00Z,NaN,NA,NA
2016-09-11T16:00:00Z,NaN,NA,NA
2016-09-11T15:00:00Z,NaN,NA,NA
2016-09-11T14:00:00Z,NaN,NA,NA
2016-09-11T13:00:00Z,NaN,NA,NA
2016-09-11T12:00:00Z,NaN,NA,NA
2016-09-11T11:00:00Z,NaN,NA,NA
2016-09-11T10:00:00Z,NaN,NA,NA
2016-09-11T09:00:00Z,NaN,NA,NA
2016-09-11T08:00:00Z,NaN,NA,NA
2016-09-11T07:00:00Z,NaN,NA,NA
2016-09-11T06:00:00Z,NaN,NA,NA
2016-09-11T05:00:00Z,NaN,NA,NA
2016-09-11T04:00:00Z,NaN,NA,NA
2016-09-11T03:00:00Z,NaN,NA,NA
2016-09-11T02:00:00Z,NaN,NA,NA
2016-09-11T01:00:00Z,NaN,NA,NA
2016-09-11T00:00:00Z,NaN,NA,NA
2016-09-10T23:00:00Z,NaN,NA,NA
2016-09-10T22:00:00Z,NaN,NA,NA
2016-09-10T21:00:00Z,NaN,NA,NA
2016-09-10T20:00:00Z,NaN,NA,NA
2016-09-10T19:00:00Z,NaN,NA,NA
2016-09-10T18:00:00Z,NaN,NA,NA
2016-09-10T17:00:00Z,NaN,NA,NA
2016-09-10T16:00:00Z,NaN,NA,NA
2016-09-10T15:00:00Z,NaN,NA,NA
2016-09-10T14:00:00Z,NaN,NA,NA
2016-09-10T13:00:00Z,NaN,NA,NA
2016-09-10T12:00:00Z,NaN,NA,NA
2016-09-10T11:00:00Z,NaN,NA,NA
2016-09-10T10:00:00Z,NaN,NA,NA
2016-09-10T09:00:00Z,NaN,NA,NA
2016-09-10T08:00:00Z,NaN,NA,NA
2016-09-10T07:00:00Z,NaN,NA,NA
2016-09-10T06:00:00Z,230.9740012909091,NA,NA
2016-09-10T05:00:00Z,233.16192035,NA,NA
2016-09-10T04:00:00Z,233.98897148333333,NA,NA
2016-09-10T03:00:00Z,236.83588246666667,NA,NA
2016-09-10T02:00:00Z,239.85389918333334,NA,NA
2016-09-10T01:00:00Z,252.54334892592593,NA,NA
2016-09-10T00:00:00Z,NaN,NA,NA
2016-09-09T23:00:00Z,NaN,NA,NA
2016-09-09T22:00:00Z,NaN,NA,NA
2016-09-09T21:00:00Z,228.8365,NA,NA
2016-09-09T20:00:00Z,227.23871211666668,NA,NA
2016-09-09T19:00:00Z,229.4600582,NA,NA
2016-09-09T18:00:00Z,231.08107001666667,NA,NA
2016-09-09T17:00:00Z,241.85524685000001,NA,NA
2016-09-09T16:00:00Z,281.6189169333333,NA,NA
2016-09-09T15:00:00Z,402.1317552,NA,NA
2016-09-09T14:00:00Z,NaN,NA,NA
2016-09-09T13:00:00Z,NaN,NA,NA
2016-09-09T12:00:00Z,NaN,NA,NA
2016-09-09T11:00:00Z,395.143,NA,NA
2016-09-09T10:00:00Z,NaN,NA,NA
